nama,lat,lon,wilayah,sumber,alamat_asli
Sunny Side Coffee,-6.9153446,107.6531264,Kabupaten Bandung,coffee_shop,"Sunny Side Coffee, 66, Jalan Purwakarta, Antapani Kidul, Antapani, Kota Bandung, Jawa, 40291, Indonesia"
Poffstory Coffee Brewer,-6.9264219,107.6196252,Kabupaten Bandung,coffee_shop,"Poffstory Coffee Brewer, 2, Jalan Burangrang, Karees Kulon, Malabar, Lengkong, Kota Bandung, Jawa, 40242, Indonesia"
Ludwick Café,-6.872527,107.5932983,Kabupaten Bandung,cafe,"Ludwick Café, 11B, Jalan Budi Luhur 5, Gegerkalong, Sukajadi, Kota Bandung, Jawa Barat, Jawa, 40153, Indonesia"
Uncle's Storage,-6.9204024,107.6130499,Kabupaten Bandung,cafe,"Uncle's Storage, 30, Jalan Naripan, Kebon Pisang, Sumur Bandung, Kota Bandung, Jawa Barat, Jawa, 40112, Indonesia"
Monsoon Cafe,-6.884257,107.5968352,Kabupaten Bandung,cafe,"Monsoon Cafe, 35, Jalan Cemara, Pasteur, Sukasari, Kota Bandung, Jawa Barat, Jawa, 40162, Indonesia"
Hoppers,-6.8997615,107.6104078,Kabupaten Bandung,cafe,"Hoppers, Jalan Rangga Malela, Tamansari, Bandung Wetan, Kota Bandung, Jawa, 40116, Indonesia"
Kedai Persib,-6.8996949,107.610294,Kabupaten Bandung,cafe,"Kedai Persib, Jalan Sulanjana, Tamansari, Bandung Wetan, Kota Bandung, Jawa Barat, Jawa, 40116, Indonesia"
Coffee Time,-6.963849,107.5631391,Kabupaten Bandung,cafe,"Coffee Time, Jalan Taman Kopo Indah 2, Margahayu Tengah, Kabupaten Bandung, Jawa Barat, Jawa, 40218, Indonesia"
Gudang Kopi,-6.9617471,107.5591707,Kabupaten Bandung,cafe,"Gudang Kopi, Jalan Taman Kopo Indah 2, Rahayu, Kabupaten Bandung, Jawa Barat, Jawa, 40218, Indonesia"
Ngopi Doeloe,-6.9072065,107.5668787,Kabupaten Bandung,cafe,"Ngopi Doeloe, 51, Jalan Jend. H. Amir Machmud, Cijerah, Cibeureum, Kota Bandung, Jawa Barat, Jawa, 40184, Indonesia"
Kedai Pantai Timur,-6.8979361,107.592867,Kabupaten Bandung,cafe,"Kedai Pantai Timur, 37, Jalan Dr. Djunjunan, Pamoyanan, Cicendo, Kota Bandung, Jawa Barat, Jawa, 40163, Indonesia"
Take Ichi Japanese Cafe,-6.8851859,107.5815401,Kabupaten Bandung,cafe,"Take Ichi Japanese Cafe, 84A, Jalan Prof. Dr. Surya Soemantri, Sukagalih, Sukasari, Kota Bandung, Jawa Barat, Jawa, 40164, Indonesia"
Sugar Rush,-6.8891532,107.582279,Kabupaten Bandung,cafe,"Sugar Rush, 36D, Jalan Babakan Jeruk 1, Sukagalih, Sukasari, Kota Bandung, Jawa Barat, Jawa, 40164, Indonesia"
Otten Inn & Viit Cafe,-6.90137,107.5990705,Kabupaten Bandung,cafe,"Otten Inn & Viit Cafe, Jalan Doktor Louis Otten, Pasirkaliki, Cicendo, Kota Bandung, Jawa Barat, Jawa, 40173, Indonesia"
Milan Cafe,-6.9309098,107.6262291,Kabupaten Bandung,cafe,"Milan Cafe, 91, Jalan Pelajar Pejuang 45, Lingkar Selatan, Lengkong, Kota Bandung, Jawa, 40263, Indonesia"
Magic Wok Tavern,-6.9120068,107.5960795,Kabupaten Bandung,cafe,"Magic Wok Tavern, #16, Jalan Kesatriaan, Arjuna, Cicendo, Kota Bandung, Jawa Barat, Jawa, 40172, Indonesia"
Pokatiam,-6.9109614,107.5979568,Kabupaten Bandung,cafe,"Pokatiam, 65, Jalan HOS. Cokroaminoto, Pasirkaliki, Cicendo, Kota Bandung, Jawa Barat, Jawa, 40172, Indonesia"
Yoss Coffe,-6.917344,107.5983109,Kabupaten Bandung,cafe,"Yoss Coffe, 8B, Jalan Gardujati, Kebon Jeruk, Andir, Kota Bandung, Jawa Barat, Jawa, 40181, Indonesia"
Kedai Kopi Bara,-6.9210534,107.5946675,Kabupaten Bandung,coffee_shop,"Kedai Kopi Bara, 237, Jalan Cibadak, Cibadak, Astanaanyar, Kota Bandung, Jawa Barat, Jawa, 40181, Indonesia"
DAGO COFFEE,-6.9049786,107.6104791,Kabupaten Bandung,cafe,"DAGO COFFEE, 19, Jalan Ir. H. Djuanda, Citarum, Bandung Wetan, Kota Bandung, Jawa Barat, Jawa, 40116, Indonesia"
SWG COFFEE,-6.9025596,107.6104052,Kabupaten Bandung,cafe,"SWG COFFEE, 10, Jalan Rangga Gadang, Tamansari, Bandung Wetan, Kota Bandung, Jawa, 40116, Indonesia"
Cafe Pohon Durian Bandung,-6.9023283,107.6102359,Kabupaten Bandung,cafe,"Cafe Pohon Durian Bandung, 2, Jalan Sawunggaling, Tamansari, Bandung Wetan, Kota Bandung, Jawa, 40116, Indonesia"
Caffe Bene,-6.8878993,107.6132494,Kabupaten Bandung,coffee_shop,"Caffe Bene, 155, Jalan Ir. H. Djuanda, Lebak Siliwangi, Coblong, Kota Bandung, Jawa Barat, Jawa, 40132, Indonesia"
Starbucks,-6.8861336,107.5816203,Kabupaten Bandung,cafe,"Starbucks, 76C, Jalan Prof. Dr. Surya Soemantri, Sukagalih, Sukasari, Kota Bandung, Jawa Barat, Jawa, 40164, Indonesia"
833R Store,-6.9606074,107.5566158,Kabupaten Bandung,cafe,"833R Store, Jalan Taman Kopo Indah 3, Rahayu, Kabupaten Bandung, Jawa Barat, Jawa, 40218, Indonesia"
Buthcer's Bill Cafe & Resto,-6.9095825,107.6273878,Kabupaten Bandung,cafe,"Buthcer's Bill Cafe & Resto, 165, Jalan Cendana, Cihapit, Bandung Wetan, Kota Bandung, Jawa, 40114, Indonesia"
Chinook Café and Resto,-6.9119046,107.628106,Kabupaten Bandung,cafe,"Chinook Café and Resto, 191, Jalan L.L. RE. Martadinata, Cihapit, Bandung Wetan, Kota Bandung, Jawa, 40114, Indonesia"
Toko Kue & Cafe Bawean,-6.9123755,107.6282628,Kabupaten Bandung,cafe,"Toko Kue & Cafe Bawean, Jalan L.L. RE. Martadinata, Merdeka, Sumur Bandung, Kota Bandung, Jawa, 40114, Indonesia"
Gotcha Ice Cream,-6.8958583,107.6348705,Kabupaten Bandung,cafe,"Gotcha Ice Cream, Jalan Pahlawan, Neglasari, Cibeunying Kaler, Kota Bandung, Jawa, 64222, Indonesia"
Koffiechino,-6.8946071,107.6346631,Kabupaten Bandung,cafe,"Koffiechino, #85, Jalan Pahlawan, Sukaluyu, Cibeunying Kaler, Kota Bandung, Jawa, 64222, Indonesia"
Trends Cafe & Resto,-6.8940138,107.6348136,Kabupaten Bandung,cafe,"Trends Cafe & Resto, 89, Jalan Pahlawan, Sukaluyu, Cibeunying Kaler, Kota Bandung, Jawa, 64222, Indonesia"
Gaza Mediterranean,-6.8943992,107.635277,Kabupaten Bandung,cafe,"Gaza Mediterranean, 72, Jalan Pahlawan, Neglasari, Cibeunying Kaler, Kota Bandung, Jawa, 64222, Indonesia"
TOASTCREAM Toastbox & Ice Cream Bar,-6.8918442,107.6165405,Kabupaten Bandung,cafe,"TOASTCREAM Toastbox & Ice Cream Bar, 15, Jalan Teuku Umar, Lebak Gede, Coblong, Kota Bandung, Jawa Barat, Jawa, 40132, Indonesia"
Hangout Cafe,-6.8949494,107.6164681,Kabupaten Bandung,cafe,"Hangout Cafe, 26, Jalan Hasanudin, Lebak Gede, Coblong, Kota Bandung, Jawa Barat, Jawa, 40132, Indonesia"
Starbucks,-6.8960232,107.6168462,Kabupaten Bandung,cafe,"Starbucks, 42, Jalan Dipatiukur, Lebak Gede, Coblong, Kota Bandung, Jawa Barat, Jawa, 40132, Indonesia"
Kedai Kecil,-6.8961805,107.6166992,Kabupaten Bandung,cafe,"Kedai Kecil, 36, Jalan Dipatiukur, Lebak Gede, Coblong, Kota Bandung, Jawa Barat, Jawa, 40132, Indonesia"
B'Owl!,-6.8969548,107.6156562,Kabupaten Bandung,cafe,"B'Owl!, 26B, Jalan Dipatiukur, Lebak Gede, Coblong, Kota Bandung, Jawa Barat, Jawa, 40132, Indonesia"
Blackjack Coffee,-6.9189145,107.5889524,Kabupaten Bandung,cafe,"Blackjack Coffee, Jalan Gabus, Ciroyom, Andir, Kota Bandung, Jawa Barat, Jawa, 40182, Indonesia"
Kaminumasa,-6.9769183,107.6326245,Kabupaten Bandung,cafe,"Kaminumasa, 88, Jalan Sukabirus, Sukapura, Dayeuhkolot, Kabupaten Bandung, Jawa Barat, Jawa, 40288, Indonesia"
Chillax Coffee And Tea,-6.8975816,107.6437749,Kabupaten Bandung,cafe,"Chillax Coffee And Tea, 210, Jalan Cikutra, Sukapada, Cibeunying Kidul, Kota Bandung, Jawa, 40124, Indonesia"
Bober,-6.8869859,107.6149061,Kabupaten Bandung,cafe,"Bober, Jalan Dipatiukur, Lebak Gede, Coblong, Kota Bandung, Jawa Barat, Jawa, 40132, Indonesia"
18 Hrs Cafe,-6.8710748,107.5936203,Kabupaten Bandung,cafe,"18 Hrs Cafe, 103, Jalan Dr. Setiabudi, Gegerkalong, Sukajadi, Kota Bandung, Jawa Barat, Jawa, 40153, Indonesia"
Soda Resto,-6.9063815,107.6103688,Kabupaten Bandung,cafe,"Soda Resto, 3, Jalan Ir. H. Djuanda, Citarum, Bandung Wetan, Kota Bandung, Jawa Barat, Jawa, 40115, Indonesia"
Starbucks,-6.9169485,107.6091118,Kabupaten Bandung,cafe,"Starbucks, 99-101, Jalan Braga, Braga, Sumur Bandung, Kota Bandung, Jawa Barat, Jawa, 40111, Indonesia"
Bober,-6.907337,107.6232794,Kabupaten Bandung,cafe,"Bober, Jalan L.L. RE. Martadinata, Cihapit, Bandung Wetan, Kota Bandung, Jawa, 40114, Indonesia"
"Please, Please, Please",-6.9045305,107.6199423,Kabupaten Bandung,cafe,"Please, Please, Please, Jalan Progo, Citarum, Bandung Wetan, Kota Bandung, Jawa, 40113, Indonesia"
180 Coffee and Music,-6.8938137,107.6123099,Kabupaten Bandung,cafe,"180 Coffee and Music, Jalan Ganesha, Lebak Siliwangi, Coblong, Kota Bandung, Jawa Barat, Jawa, 40132, Indonesia"
Le Delice Cafe And Bakery,-6.9248412,107.621374,Kabupaten Bandung,cafe,"Le Delice Cafe And Bakery, Jalan Guntur, Karees Kulon, Malabar, Lengkong, Kota Bandung, Jawa, 40262, Indonesia"
Nanny's Pavillon,-6.9078484,107.6237768,Kabupaten Bandung,cafe,"Nanny's Pavillon, 125, Jalan L.L. RE. Martadinata, Cihapit, Bandung Wetan, Kota Bandung, Jawa, 40114, Indonesia"
Ujenk Gemi Bar,-6.9070236,107.6057856,Kabupaten Bandung,cafe,"Ujenk Gemi Bar, 26, Jalan Pajajaran, Tamansari, Bandung Wetan, Kota Bandung, Jawa Barat, Jawa, 40117, Indonesia"
Lacamera Coffee,-6.9206091,107.6154775,Kabupaten Bandung,cafe,"Lacamera Coffee, 79, Jalan Naripan, Kebon Pisang, Sumur Bandung, Kota Bandung, Jawa Barat, Jawa, 40112, Indonesia"
N Cafe,-6.8767124,107.5728814,Kabupaten Bandung,cafe,"N Cafe, Jalan Villa Duta, Ciwaruga, Bandung Barat, Jawa Barat, Jawa, 40515, Indonesia"
Marfee,-6.9063556,107.6143851,Kabupaten Bandung,coffee_shop,"Marfee, Jalan L.L. RE. Martadinata, Citarum, Bandung Wetan, Kota Bandung, Jawa, 40117, Indonesia"
Forest Cafe,-6.8577375,107.6289779,Kabupaten Bandung,cafe,"Forest Cafe, Jalan Pakar Kulon, Ciburial, Kabupaten Bandung, Jawa Barat, Jawa, 40119, Indonesia"
Loco Chiks and Chill,-6.930728,107.6219372,Kabupaten Bandung,cafe,"Loco Chiks and Chill, Jalan Lodaya, Malabar, Lengkong, Kota Bandung, Jawa Barat, Jawa, 40263, Indonesia"
Brussels Spring,-6.9186286,107.6141221,Kabupaten Bandung,cafe,"Brussels Spring, No. 7, Jalan Veteran, Kebon Pisang, Sumur Bandung, Kota Bandung, Jawa Barat, Jawa, 40112, Indonesia"
